direction,combo_size,setup,win_rate,trades,avg_return_bps,confidence,timeframe
Bullish,3,RSI > 70 + StochRSI Neutral + Prev 2D,0.6070921985815603,705,3.9340947189911075,High,15m
Bullish,3,RSI > 70 + StochRSI Oversold + Prev 2U,0.6064516129032258,155,3.505470411123128,Good,5m
Bullish,3,RSI > 70 + RVOL < 0.8 + ATR Normal,0.6063924237940219,3379,2.9674578095077466,High,15m
Bullish,3,RSI > 70 + Above EMA9 + RVOL < 0.8,0.6058997050147492,3390,3.0891906351614744,High,15m
Bullish,3,RSI > 70 + Above EMA20 + RVOL < 0.8,0.6057042046456924,3401,3.0793458116338783,High,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + Within OB,0.6057042046456924,3401,3.0793458116338783,High,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + No OB Test,0.6057042046456924,3401,3.0793458116338783,High,15m
Bullish,2,RSI > 70 + RVOL < 0.8,0.6057042046456924,3401,3.0793458116338783,High,15m
Bullish,3,RSI > 70 + EMA9 > EMA20 + RVOL < 0.8,0.6057042046456924,3401,3.0793458116338783,High,15m
Bullish,3,RSI > 70 + StochRSI Neutral + Strat 1,0.6051401869158879,428,4.924493597700917,Good,15m
Bullish,3,EMA9 > EMA20 + RVOL 0.8-1.5 + ATR High (>1.5x),0.6051282051282051,195,5.825646758067253,Good,15m
Bullish,3,EMA9 < EMA20 + Strat 1 + Prev 1,0.6049382716049383,243,8.136178015537055,Good,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + Prev 3,0.6047297297297297,296,3.8663416260202816,Good,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + OBV Rising,0.6046594982078853,2790,3.1116360485874854,High,15m
Bullish,3,RSI > 70 + RVOL < 0.8 + Strat 1,0.6043276661514683,647,3.9050368216309,High,15m
Bullish,3,RSI > 70 + Above EMA9 + StochRSI Oversold,0.6042780748663101,187,3.5651520410566686,Good,15m
Bullish,3,RSI > 70 + StochRSI Oversold + ATR Normal,0.6041666666666666,192,3.4772919274048024,Good,15m
Bullish,3,RSI > 70 + StochRSI Overbought + Prev 2U,0.6038647342995169,3105,4.022070405722028,High,15m
Bullish,3,RVOL 0.8-1.5 + ATR High (>1.5x) + Strat 3,0.6037735849056604,53,2.6114412747412072,Moderate,15m
Bullish,3,RSI 30-50 + Strat 1 + Prev 1,0.6035242290748899,227,8.032994981828162,Good,15m
Bullish,3,RSI > 70 + StochRSI Oversold + OBV Falling,0.6033519553072626,179,2.9604082097114848,Good,5m
Bearish,3,RSI < 30 + StochRSI Overbought + Strat 2D,0.6031746031746031,63,5.119157600244731,Moderate,5m
Bullish,3,Below EMA20 + Strat 1 + Prev 1,0.6023166023166023,259,7.4430569945743335,Good,15m
Bullish,3,RSI > 70 + StochRSI Neutral + Strat 2D,0.6022364217252396,626,1.4841201516327316,High,15m
Bullish,3,RSI > 70 + StochRSI Oversold + Within OB,0.6020408163265306,196,3.6582951436192785,Good,15m
Bullish,3,RSI > 70 + StochRSI Oversold + No OB Test,0.6020408163265306,196,3.6582951436192785,Good,15m
Bullish,2,RSI > 70 + StochRSI Oversold,0.6020408163265306,196,3.6582951436192785,Good,15m
Bullish,3,RSI > 70 + Above EMA20 + StochRSI Oversold,0.6020408163265306,196,3.6582951436192785,Good,15m
Bullish,3,RSI > 70 + EMA9 > EMA20 + StochRSI Oversold,0.6020408163265306,196,3.6582951436192785,Good,15m
Bullish,3,RSI > 70 + Strat 2D + Prev 2U,0.6019021739130435,736,3.3083181062776137,High,15m
Bullish,3,RSI > 70 + OBV Falling + Prev 2U,0.6018957345971564,422,4.566662796001195,Good,15m
Bullish,3,RSI > 70 + Strat 2U + Prev 2D,0.6016260162601627,738,3.102085621827218,High,15m
Bullish,3,Above EMA20 + RVOL > 1.5 + StochRSI Oversold,0.6013071895424836,306,9.100818897932198,Good,15m
Bullish,3,RSI > 70 + StochRSI Overbought + Strat 2U,0.6006546644844517,3055,3.6450498024220575,High,15m
Bearish,3,RSI < 30 + OBV Rising + Prev 3,0.6,105,7.31121971667619,Good,5m
Bearish,3,EMA9 < EMA20 + ATR Low (<0.5x) + Within OB,0.6,85,-9.989166615795815,Moderate,5m
Bullish,3,RSI > 70 + OBV Falling + Strat 2U,0.6,480,4.580826783867477,Good,15m
