feature,importance_gain,fold
atr_20_w60_mean,0.0,5
atr_20_w60_z,0.0,5
rsi_30_w60_mean,0.0,5
rsi_30_w20_mean,0.0,5
rvol_10_lag1,0.0,5
rsi_30_w5_mean,0.0,5
gap_pct_lag3,0.0,5
gap_pct_lag1,0.0,5
gap_pct_lag10,0.0,5
gap_pct_w5_mean,0.0,5
gap_pct_w5_z,0.0,5
gap_pct_lag5,0.0,5
gap_pct_w20_mean,0.0,5
gap_pct_w20_z,0.0,5
gap_pct_w60_z,0.0,5
gap_pct_w60_mean,0.0,5
rvol_10,0.0,5
atr_20,0.0,5
return_xs_rank,0.0,5
gap_pct_xs_rank,0.0,5
