total_trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,max_drawdown_pct,sharpe_ratio,total_winners,total_losers,consecutive_periods,call_target,call_time_stop
620,0.42096774193548386,0.0028082243807355583,-0.0019208961461754273,1.0718115423660313,7.920570215085258e-05,-0.015371004622635315,0.8212157029919631,261,356,2,0.0035,25
620,0.4112903225806452,0.002844246734142771,-0.0018992279878912203,1.0549254660089804,6.090707353191101e-05,-0.016067109287363025,0.5590164495126324,255,362,2,0.0035,30
620,0.4161290322580645,0.002853823777070998,-0.001922868637977846,1.0666029813241549,7.415595717785627e-05,-0.016372905816783738,0.7179474381767126,258,359,2,0.0035,35
620,0.4112903225806452,0.0028577202985252347,-0.0019205293945188915,1.0481667308306044,5.4011347271122654e-05,-0.01755776807310971,0.49625173800606565,255,362,2,0.0035,40
620,0.42258064516129035,0.002949616845725333,-0.0018773186065705431,1.1595795792598544,0.00017153469072176512,-0.012499746268768064,2.0201801433149513,262,355,2,0.004,20
620,0.4290322580645161,0.002904003115935945,-0.001897835390322053,1.1596129513335949,0.0001714913013482595,-0.012563726278919858,1.904707119077874,266,351,2,0.004,25
620,0.41774193548387095,0.002944670230013268,-0.0018572429282909687,1.147056181825961,0.0001577042278149509,-0.01161554961240498,1.7504675448564095,259,358,2,0.004,30
620,0.4241935483870968,0.0029458452069350996,-0.0018890777131478401,1.1618261342291611,0.0001740529946495866,-0.011780991511395797,2.00647295675938,263,353,2,0.004,35
620,0.4161290322580645,0.0029899362351071494,-0.0018778140621751706,1.1442860324824,0.00015688435538186807,-0.012971385117942102,1.7525330260492027,258,359,2,0.004,40
620,0.432258064516129,0.0026032140654043225,-0.001949237859125687,1.0255442673436914,2.8027994666925394e-05,-0.013198696552415335,0.515533770411482,268,349,3,0.002,20
620,0.432258064516129,0.00262133797978269,-0.0019528367439858518,1.0307811048547297,3.383637892048181e-05,-0.012981959912116333,0.593710763433053,268,349,3,0.002,25
620,0.432258064516129,0.0026272078410122354,-0.0019519698929441362,1.0335480783144977,3.686162702221845e-05,-0.012981959912115901,0.6391904862442197,268,349,3,0.002,30
620,0.4338709677419355,0.0026321198938868027,-0.0019577621391887712,1.0392469968624023,4.3127462932028203e-05,-0.01298195991211644,0.7195137911908758,269,348,3,0.002,35
620,0.43548387096774194,0.0026220774428474714,-0.001961954701277707,1.039898203285494,4.381069068621445e-05,-0.012981959912116255,0.728853718028587,270,347,3,0.002,40
620,0.4306451612903226,0.00273515863606637,-0.0019226053887800812,1.0852644617284488,9.254108025272961e-05,-0.013119088257107774,1.384017594903628,267,350,3,0.0025,20
620,0.4290322580645161,0.002785990591965031,-0.001927213552724684,1.0955301256608325,0.00010422829105860359,-0.012372646147885238,1.538373761959993,266,351,3,0.0025,25
620,0.4274193548387097,0.0028117138267669773,-0.0019362490634151604,1.0932339405309566,0.00010249111898566521,-0.012372646147884726,1.5070033466586883,265,352,3,0.0025,30
620,0.4290322580645161,0.00281764275537384,-0.0019419470145935196,1.0995704821691785,0.00010946704968889669,-0.01237264614788551,1.587724005481379,266,351,3,0.0025,35
620,0.4306451612903226,0.0028045589459715953,-0.0019460584543657066,1.0993903187741945,0.0001091883541071268,-0.012372646147885248,1.587860500841234,267,350,3,0.0025,40
620,0.4274193548387097,0.0027815027261673506,-0.00193048782358255,1.0847149696705294,9.28492073117583e-05,-0.011837344647042712,1.4302671282540012,265,352,3,0.003,20
620,0.4274193548387097,0.002845413198381256,-0.001936377260402252,1.1062634863640264,0.00011682209985393579,-0.011518628638678035,1.7302964685445168,265,352,3,0.003,25
620,0.4241935483870968,0.002852144248376606,-0.0019433656839019258,1.0903588255129009,0.00010026207293833183,-0.012517260990995887,1.5035661166076941,263,354,3,0.003,30
620,0.4274193548387097,0.0028625724535886543,-0.001954959471054121,1.102356176793916,0.00011360639740313347,-0.012433921351416714,1.6690147907590849,265,352,3,0.003,35
620,0.4274193548387097,0.002849303468881584,-0.001958869117003501,1.0950564257555035,0.00010571530656191512,-0.01250442255702248,1.5738857565445268,265,352,3,0.003,40
620,0.41935483870967744,0.0027748465615238618,-0.001928782118579073,1.0536607370763462,5.926202242037595e-05,-0.016141173147895274,0.8845736753534414,260,355,3,0.0035,20
620,0.4161290322580645,0.002799476985635839,-0.0019282800615649902,1.043354871765571,4.840729063260476e-05,-0.01646535335239488,0.7576275956158472,258,359,3,0.0035,25
620,0.4129032258064516,0.0028072083053129527,-0.0019306809981834696,1.0310907273416838,3.4950783574005305e-05,-0.01700737281128318,0.5413621629470815,256,361,3,0.0035,30
620,0.41774193548387095,0.0028300087295929934,-0.0019473263443173549,1.0513946756562444,5.778940274027796e-05,-0.017295300016399538,0.8586587707590764,259,358,3,0.0035,35
620,0.41774193548387095,0.0028055000683941326,-0.0019520625161243725,1.0397604620840064,4.481634990573382e-05,-0.016953316427898404,0.7063321515146318,259,358,3,0.0035,40
620,0.42096774193548386,0.002877055382143099,-0.001911954644861263,1.1125932944204315,0.000122566879198908,-0.01124905364812985,1.64017234031603,261,353,3,0.004,20
620,0.41451612903225804,0.0028748197936613357,-0.0019046560366711843,1.0805198350967962,8.880188678388396e-05,-0.011818359446823077,1.193321558005876,257,359,3,0.004,25
620,0.4080645161290323,0.0028924764826299227,-0.0019057367629511225,1.0578420360998502,6.453887928082755e-05,-0.011859950088890125,0.8884268782018809,253,363,3,0.004,30
620,0.4112903225806452,0.0029155757601371478,-0.0019208096982675242,1.0751713189633112,8.383923783655478e-05,-0.01214938501949395,1.142611315621322,255,360,3,0.004,35
620,0.4096774193548387,0.0029230513898150404,-0.00191860476530374,1.0719572023925263,8.038505280382271e-05,-0.011805610640252531,1.0918289966018149,254,361,3,0.004,40
618,0.43851132686084143,0.0025610438567295487,-0.0019475269993875744,1.0389836163799548,4.2137741721309975e-05,-0.008918614225159575,0.6148936425325457,271,343,4,0.002,20
618,0.4368932038834951,0.0025829199499484284,-0.0019604494645401914,1.034095424467337,3.720674868001598e-05,-0.008918614225159377,0.5457168179237581,270,344,4,0.002,25
618,0.4368932038834951,0.0025887463307244216,-0.0019595700139193816,1.0368932154353037,4.024178722868381e-05,-0.008918614225159204,0.594406002026349,270,344,4,0.002,30
