ticker,et,model,called,p_tight,p_normal,p_expanded,p_explosive,actual,next_bar_move_atr
IWM,12:15,6hp7l,EXPLOSIVE,0.793,0.086,0.069,0.052,TIGHT,0.157
IWM,12:15,c49qf,EXPLOSIVE,0.619,0.266,0.060,0.056,TIGHT,0.157
IWM,12:20,6hp7l,EXPLOSIVE,0.638,0.123,0.097,0.142,TIGHT,0.299
IWM,12:20,c49qf,EXPLOSIVE,0.581,0.250,0.065,0.104,TIGHT,0.299
IWM,12:25,6hp7l,EXPLOSIVE,0.833,0.065,0.051,0.051,TIGHT,0.123
IWM,12:25,c49qf,EXPLOSIVE,0.603,0.258,0.055,0.085,TIGHT,0.123
IWM,12:30,6hp7l,EXPLOSIVE,0.825,0.063,0.046,0.066,TIGHT,0.042
IWM,12:30,c49qf,EXPLOSIVE,0.622,0.266,0.057,0.056,TIGHT,0.042
IWM,12:35,6hp7l,EXPLOSIVE,0.827,0.066,0.049,0.058,TIGHT,0.104
IWM,12:35,c49qf,EXPLOSIVE,0.621,0.267,0.057,0.056,TIGHT,0.104
IWM,12:40,6hp7l,EXPLOSIVE,0.620,0.030,0.052,0.298,EXPLOSIVE,1.858
IWM,12:40,c49qf,EXPLOSIVE,0.589,0.240,0.055,0.117,EXPLOSIVE,1.858
IWM,12:45,6hp7l,EXPLOSIVE,0.706,0.067,0.058,0.169,TIGHT,0.202
IWM,12:45,c49qf,EXPLOSIVE,0.593,0.247,0.054,0.106,TIGHT,0.202
IWM,12:50,6hp7l,EXPLOSIVE,0.643,0.070,0.055,0.232,EXPLOSIVE,2.095
IWM,12:50,c49qf,EXPLOSIVE,0.600,0.246,0.053,0.101,EXPLOSIVE,2.095
IWM,12:55,6hp7l,EXPLOSIVE,0.577,0.076,0.078,0.269,EXPANDED,1.337
IWM,12:55,c49qf,EXPLOSIVE,0.596,0.248,0.056,0.101,EXPANDED,1.337
IWM,13:00,6hp7l,EXPLOSIVE,0.601,0.093,0.188,0.118,EXPANDED,1.470
IWM,13:00,c49qf,EXPLOSIVE,0.586,0.241,0.055,0.119,EXPANDED,1.470
IWM,13:05,6hp7l,EXPLOSIVE,0.561,0.103,0.264,0.072,EXPANDED,1.174
IWM,13:05,c49qf,EXPLOSIVE,0.605,0.249,0.067,0.079,EXPANDED,1.174
IWM,13:10,6hp7l,EXPLOSIVE,0.769,0.055,0.119,0.057,TIGHT,0.087
IWM,13:10,c49qf,EXPLOSIVE,0.600,0.250,0.057,0.093,TIGHT,0.087
IWM,13:15,6hp7l,EXPLOSIVE,0.622,0.073,0.104,0.201,TIGHT,0.054
IWM,13:15,c49qf,EXPLOSIVE,0.581,0.251,0.061,0.106,TIGHT,0.054
IWM,13:20,6hp7l,TIGHT,0.845,0.078,0.045,0.032,TIGHT,0.056
IWM,13:20,c49qf,EXPLOSIVE,0.618,0.257,0.055,0.070,TIGHT,0.056
IWM,13:25,6hp7l,TIGHT,0.845,0.087,0.039,0.030,TIGHT,0.096
IWM,13:25,c49qf,TIGHT,0.638,0.261,0.057,0.044,TIGHT,0.096
IWM,13:30,6hp7l,EXPLOSIVE,0.533,0.126,0.252,0.090,EXPANDED,1.113
IWM,13:30,c49qf,EXPLOSIVE,0.587,0.252,0.068,0.094,EXPANDED,1.113
IWM,13:35,6hp7l,EXPLOSIVE,0.663,0.077,0.147,0.113,TIGHT,0.045
IWM,13:35,c49qf,EXPLOSIVE,0.597,0.254,0.068,0.082,TIGHT,0.045
IWM,13:40,6hp7l,TIGHT,0.794,0.115,0.064,0.027,NORMAL,0.953
IWM,13:40,c49qf,TIGHT,0.632,0.268,0.057,0.043,NORMAL,0.953
IWM,13:45,6hp7l,EXPLOSIVE,0.566,0.171,0.185,0.078,EXPANDED,1.011
IWM,13:45,c49qf,EXPLOSIVE,0.600,0.257,0.069,0.075,EXPANDED,1.011
IWM,13:50,6hp7l,EXPLOSIVE,0.569,0.185,0.186,0.060,EXPANDED,1.001
IWM,13:50,c49qf,TIGHT,0.622,0.265,0.071,0.043,EXPANDED,1.001
IWM,13:55,6hp7l,EXPLOSIVE,0.563,0.272,0.102,0.063,NORMAL,0.781
IWM,13:55,c49qf,EXPLOSIVE,0.610,0.255,0.068,0.067,NORMAL,0.781
IWM,14:00,6hp7l,TIGHT,0.542,0.309,0.108,0.040,NORMAL,0.753
IWM,14:00,c49qf,TIGHT,0.622,0.265,0.071,0.043,NORMAL,0.753
IWM,14:05,6hp7l,TIGHT,0.583,0.311,0.084,0.022,NORMAL,0.922
IWM,14:05,c49qf,TIGHT,0.632,0.264,0.071,0.034,NORMAL,0.922
IWM,14:10,6hp7l,TIGHT,0.579,0.300,0.074,0.047,NORMAL,0.744
IWM,14:10,c49qf,EXPLOSIVE,0.616,0.262,0.068,0.054,NORMAL,0.744
IWM,14:15,6hp7l,TIGHT,0.595,0.290,0.077,0.037,TIGHT,0.113
IWM,14:15,c49qf,TIGHT,0.628,0.263,0.068,0.041,TIGHT,0.113
IWM,14:20,6hp7l,TIGHT,0.744,0.221,0.029,0.006,NORMAL,0.677
IWM,14:20,c49qf,TIGHT,0.644,0.265,0.060,0.032,NORMAL,0.677
IWM,14:25,6hp7l,TIGHT,0.659,0.220,0.090,0.031,EXPANDED,1.020
IWM,14:25,c49qf,TIGHT,0.626,0.266,0.069,0.039,EXPANDED,1.020
IWM,14:30,6hp7l,TIGHT,0.618,0.256,0.088,0.038,TIGHT,0.011
IWM,14:30,c49qf,TIGHT,0.635,0.266,0.069,0.030,TIGHT,0.011
IWM,14:35,6hp7l,TIGHT,0.640,0.230,0.089,0.041,NORMAL,0.817
