ticker,strat_combo,vex_tercile,n,mean_bps,hit_pct
IWM,22_bull_continuation,MID,1122,6.65791568502512,55.3475935828877
IWM,22_bull_reversal,HIGH,716,-0.1147427852628412,52.0949720670391
IWM,22_bull_reversal,LOW,692,-4.435324475261957,48.12138728323699
IWM,22_bull_reversal,MID,713,4.635114819945214,51.61290322580645
IWM,312_bear_reversal,LOW,31,-11.502735940622523,41.935483870967744
IWM,312_bear_reversal,MID,40,43.76337156406395,55.00000000000001
IWM,312_bull_reversal,HIGH,52,2.1558976442306887,53.84615384615385
IWM,312_bull_reversal,LOW,44,30.866587646136896,65.9090909090909
IWM,312_bull_reversal,MID,57,5.596486456339019,52.63157894736842
IWM,322_bear_continuation,HIGH,85,10.24252807356328,50.588235294117645
IWM,322_bear_continuation,LOW,94,0.5393477958156547,51.06382978723404
IWM,322_bear_continuation,MID,94,-8.589956514552098,47.87234042553192
IWM,322_bull_continuation,HIGH,104,13.93399762119476,54.80769230769232
IWM,322_bull_continuation,LOW,107,0.31550023381024,53.271028037383175
IWM,322_bull_continuation,MID,117,11.408743456644997,54.70085470085471
IWM,32_bear_reversal,HIGH,41,-34.6982239534031,46.34146341463415
IWM,32_bear_reversal,LOW,34,-21.84974656401752,35.294117647058826
IWM,32_bear_reversal,MID,39,-19.058317872159687,48.71794871794872
IWM,32_bull_reversal,HIGH,39,11.489712282224442,64.1025641025641
IWM,32_bull_reversal,LOW,44,26.502646060441933,59.09090909090909
IWM,32_bull_reversal,MID,51,-10.155888922261404,47.05882352941176
IWM,clean_2d_bear,HIGH,106,0.9699839468518942,49.0566037735849
IWM,clean_2d_bear,LOW,128,14.903062558455764,57.03125
IWM,clean_2d_bear,MID,105,-3.0177970067802216,56.19047619047619
IWM,clean_2u_bull,HIGH,117,-10.5808861826,43.58974358974359
IWM,clean_2u_bull,LOW,123,-6.559537068756371,52.03252032520326
IWM,clean_2u_bull,MID,134,18.97965905013838,58.95522388059702
IWM,f2d_bull_reversal,HIGH,50,15.050643381109555,60.0
IWM,f2d_bull_reversal,LOW,59,24.311831230303834,57.6271186440678
IWM,f2d_bull_reversal,MID,51,-9.270732203406066,45.09803921568628
IWM,f2u_bear_reversal,HIGH,55,6.524104779769201,60.0
IWM,f2u_bear_reversal,LOW,43,-1.1334843979516496,55.81395348837209
IWM,f2u_bear_reversal,MID,75,17.075997154636756,57.333333333333336
IWM,none,HIGH,1178,-0.8300827544626498,51.273344651952456
IWM,none,LOW,1237,4.278377426249267,50.767987065481
IWM,none,MID,1222,4.32539131024853,54.1734860883797
QQQ,11_inside_compression,HIGH,68,5.305718901803711,60.29411764705882
QQQ,11_inside_compression,LOW,43,21.48745466301976,60.46511627906976
QQQ,11_inside_compression,MID,61,19.97602221846455,55.73770491803278
QQQ,132_bear_continuation,HIGH,34,9.820029054800743,61.76470588235294
QQQ,132_bear_continuation,MID,41,16.107795143512835,56.09756097560976
QQQ,132_bull_continuation,HIGH,37,-13.532134304082966,43.24324324324324
QQQ,132_bull_continuation,LOW,44,6.455567678422958,56.81818181818182
QQQ,132_bull_continuation,MID,39,22.770128271921543,58.97435897435898
QQQ,212_bear_continuation,HIGH,100,21.893785976783164,64.0
QQQ,212_bear_continuation,LOW,97,1.5143166536615986,53.608247422680414
QQQ,212_bear_continuation,MID,102,4.687734838365704,51.9607843137255
QQQ,212_bear_reversal,HIGH,181,20.07010489912914,65.19337016574586
QQQ,212_bear_reversal,LOW,166,17.658405210102906,59.63855421686747
QQQ,212_bear_reversal,MID,139,5.097889000639752,51.07913669064749
QQQ,212_bull_continuation,HIGH,139,4.662079458483144,56.83453237410072
QQQ,212_bull_continuation,LOW,115,21.10928734563176,59.130434782608695
QQQ,212_bull_continuation,MID,111,11.894454313612025,57.65765765765766
QQQ,212_bull_reversal,HIGH,189,7.062647299779652,59.78835978835979
QQQ,212_bull_reversal,LOW,153,12.918742244157857,58.16993464052288
QQQ,212_bull_reversal,MID,170,6.339274517590708,56.47058823529412
QQQ,22_bear_continuation,HIGH,773,7.334735479343297,56.53298835705045
QQQ,22_bear_continuation,LOW,801,3.8325681926232487,54.18227215980025
QQQ,22_bear_continuation,MID,844,12.09725567545352,53.317535545023695
QQQ,22_bear_reversal,HIGH,751,6.497200784573613,57.52330226364847
QQQ,22_bear_reversal,LOW,676,-2.2707984261095,51.77514792899408
QQQ,22_bear_reversal,MID,759,4.489554335254408,55.33596837944664
QQQ,22_bull_continuation,HIGH,1273,4.335338143153721,57.2663000785546
QQQ,22_bull_continuation,LOW,1123,1.8896650603547007,55.03116651825467
QQQ,22_bull_continuation,MID,1253,2.364484904720597,57.382282521947324
QQQ,22_bull_reversal,HIGH,754,8.29689906951373,56.49867374005305
QQQ,22_bull_reversal,LOW,709,0.8190562197299379,56.13540197461213
QQQ,22_bull_reversal,MID,741,4.098358596028382,54.25101214574899
QQQ,312_bear_reversal,HIGH,38,18.28798925713813,50.0
QQQ,312_bear_reversal,LOW,43,-0.8369936559420523,51.16279069767442
QQQ,312_bear_reversal,MID,30,57.02920581417916,70.0
QQQ,312_bull_reversal,HIGH,50,-11.699297536532733,54.0
QQQ,312_bull_reversal,LOW,49,6.494036897416211,57.14285714285714
QQQ,312_bull_reversal,MID,50,-17.92513522831929,48.0
QQQ,322_bear_continuation,HIGH,58,10.834531616690088,58.620689655172406
QQQ,322_bear_continuation,LOW,81,7.494659100328274,54.32098765432099
QQQ,322_bear_continuation,MID,76,-17.750568027592887,48.68421052631579
QQQ,322_bull_continuation,HIGH,98,5.903499826763265,61.224489795918366
