ticker,strat_combo,vix_tercile,n,mean_bps,hit_pct
QQQ,32_bear_reversal,MID,36,27.8873575646522,66.66666666666666
QQQ,32_bull_reversal,HIGH,40,3.9231015302882617,57.49999999999999
QQQ,32_bull_reversal,LOW,50,7.872110250869952,66.0
QQQ,32_bull_reversal,MID,59,9.125871809019666,59.32203389830508
QQQ,clean_2d_bear,HIGH,106,-8.674475247445137,52.83018867924528
QQQ,clean_2d_bear,LOW,75,15.616775480040896,65.33333333333333
QQQ,clean_2d_bear,MID,80,4.796855000523275,50.0
QQQ,clean_2u_bull,HIGH,96,24.088901535140124,69.79166666666666
QQQ,clean_2u_bull,LOW,120,9.550806729474148,58.333333333333336
QQQ,clean_2u_bull,MID,134,5.106629109954646,56.71641791044776
QQQ,f2d_bull_reversal,HIGH,62,5.226931250642653,62.903225806451616
QQQ,f2d_bull_reversal,LOW,53,5.575797402699372,50.943396226415096
QQQ,f2d_bull_reversal,MID,56,6.544189928138407,55.35714285714286
QQQ,f2u_bear_reversal,HIGH,64,9.327443626083369,51.5625
QQQ,f2u_bear_reversal,LOW,51,7.004525582499496,62.74509803921568
QQQ,f2u_bear_reversal,MID,45,27.635782434794898,64.44444444444444
QQQ,none,HIGH,1116,0.7358692198478115,52.867383512544805
QQQ,none,LOW,1178,10.261434189734237,61.71477079796265
QQQ,none,MID,1159,10.168972053920816,57.03192407247627
SPY,11_inside_compression,HIGH,50,26.0396512122495,56.00000000000001
SPY,11_inside_compression,LOW,54,12.662501843607926,59.25925925925925
SPY,11_inside_compression,MID,57,-4.8822276563187685,50.877192982456144
SPY,132_bear_continuation,HIGH,42,24.961565771474376,59.523809523809526
SPY,132_bear_continuation,LOW,45,10.932114446401355,57.77777777777777
SPY,132_bear_continuation,MID,34,-15.61692950775093,41.17647058823529
SPY,132_bull_continuation,HIGH,32,39.80200446702607,62.5
SPY,132_bull_continuation,LOW,55,10.051402793287489,67.27272727272727
SPY,132_bull_continuation,MID,44,7.874067890643479,54.54545454545454
SPY,212_bear_continuation,HIGH,113,3.2644689008587084,51.32743362831859
SPY,212_bear_continuation,LOW,82,5.767821743407004,58.53658536585365
SPY,212_bear_continuation,MID,75,-2.781119518980085,56.00000000000001
SPY,212_bear_reversal,HIGH,121,14.254129759495092,57.85123966942148
