ticker,strat_combo,gex_tercile,n,mean_bps,hit_pct
SPY,22_bull_continuation,HIGH,56903,-0.0671314867794661,49.76011809570673
SPY,22_bull_continuation,LOW,53229,-0.1628425652080651,49.394127261455225
SPY,22_bull_continuation,MID,51457,-0.1418826673405457,49.62395786773423
SPY,22_bull_continuation,,368,0.041347646477143,47.28260869565217
SPY,22_bull_reversal,HIGH,37504,0.0138554496220358,50.54927474402731
SPY,22_bull_reversal,LOW,35701,0.1111500529989095,50.693257891935794
SPY,22_bull_reversal,MID,34677,0.0573915675816845,50.55223923638147
SPY,22_bull_reversal,,249,0.4895960743017693,51.80722891566265
SPY,312_bear_reversal,HIGH,2463,0.106067731218043,51.278928136419
SPY,312_bear_reversal,LOW,2203,0.2313906784817582,50.65819337267363
SPY,312_bear_reversal,MID,2171,0.0173069553637747,51.68125287885766
SPY,312_bull_reversal,HIGH,3349,0.0193083732048776,50.67184234099731
SPY,312_bull_reversal,LOW,3107,0.1168472376150915,50.112648857418726
SPY,312_bull_reversal,MID,3026,-0.0030529704211233,50.29742233972241
SPY,322_bear_continuation,HIGH,3911,0.1742720959975743,53.43901815392482
SPY,322_bear_continuation,LOW,4537,0.3571557662652582,50.07714348688561
SPY,322_bear_continuation,MID,3935,0.2121380352857836,51.15628970775096
SPY,322_bull_continuation,HIGH,4174,-0.2356487685301479,48.61044561571634
SPY,322_bull_continuation,LOW,4476,-0.046562408462369,50.35746201966042
SPY,322_bull_continuation,MID,4042,-0.2180701531928977,49.43097476496784
SPY,32_bear_reversal,HIGH,956,-0.2139865791403823,50.73221757322176
SPY,32_bear_reversal,LOW,1128,1.0961903122904977,53.812056737588655
SPY,32_bear_reversal,MID,972,1.2859714207304402,52.77777777777778
SPY,32_bull_reversal,HIGH,1054,0.2049961257288221,51.802656546489565
SPY,32_bull_reversal,LOW,1197,-0.0540116530209716,48.78863826232247
SPY,32_bull_reversal,MID,1166,-0.0961274414856133,50.17152658662093
SPY,clean_2d_bear,HIGH,6431,0.0462430458393677,51.873736588399936
SPY,clean_2d_bear,LOW,5822,0.269717948155158,52.19855719683958
SPY,clean_2d_bear,MID,5664,0.239284138522303,52.048022598870055
SPY,clean_2d_bear,,56,-0.0267666682282553,55.35714285714286
SPY,clean_2u_bull,HIGH,6646,-0.0602174719679388,49.849533554017455
SPY,clean_2u_bull,LOW,5696,0.2704054543467594,49.77176966292135
SPY,clean_2u_bull,MID,5724,-0.1022465108957757,50.15723270440253
SPY,clean_2u_bull,,41,0.4346796702031023,51.21951219512195
SPY,f2d_bull_reversal,HIGH,2061,-0.3968099343537196,50.31538088306648
SPY,f2d_bull_reversal,LOW,2152,-0.4139331098534163,50.60408921933085
SPY,f2d_bull_reversal,MID,1877,-0.0961333975000858,51.51838039424613
SPY,f2u_bear_reversal,HIGH,1927,0.1070750407379306,51.89413596263622
SPY,f2u_bear_reversal,LOW,2150,-0.1670752873949037,49.11627906976744
SPY,f2u_bear_reversal,MID,1832,-0.5455296913035053,50.54585152838428
SPY,none,HIGH,77630,0.0374124470095673,50.71750611876852
SPY,none,LOW,66598,0.1124715734621204,50.40541758010752
SPY,none,MID,67939,0.1108702762097256,50.74404980938784
SPY,none,,515,0.0283035304482402,48.737864077669904
