ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
QQQ,212_bear_continuation,GEX_LOW_VEX_MID,40,57.5,42.5,72.5,20.5,148.02
QQQ,212_bear_continuation,GEX_MID_VEX_HIGH,54,55.56,42.59,68.52,15.96,108.72
QQQ,212_bear_continuation,GEX_MID_VEX_MID,41,48.78,34.15,63.41,-9.02,124.18
QQQ,212_bear_reversal,GEX_HIGH_VEX_HIGH,45,64.44,51.11,80.0,11.2,51.75
QQQ,212_bear_reversal,GEX_HIGH_VEX_LOW,93,60.22,50.54,69.89,13.91,82.32
QQQ,212_bear_reversal,GEX_HIGH_VEX_MID,31,54.84,38.71,70.97,-4.15,109.85
QQQ,212_bear_reversal,GEX_LOW_VEX_LOW,63,58.73,47.62,72.26,23.89,115.71
QQQ,212_bear_reversal,GEX_LOW_VEX_MID,61,50.82,37.7,62.3,29.44,183.26
QQQ,212_bear_reversal,GEX_MID_VEX_HIGH,107,64.49,56.07,73.83,22.17,91.2
QQQ,212_bear_reversal,GEX_MID_VEX_MID,47,48.94,34.04,61.7,-20.4,127.11
QQQ,212_bull_continuation,GEX_HIGH_VEX_HIGH,38,65.79,50.0,81.58,15.82,49.51
QQQ,212_bull_continuation,GEX_HIGH_VEX_LOW,56,57.14,43.71,69.64,15.71,65.97
QQQ,212_bull_continuation,GEX_LOW_VEX_LOW,44,68.18,52.27,81.82,38.96,108.8
QQQ,212_bull_continuation,GEX_LOW_VEX_MID,45,55.56,42.22,68.89,8.22,174.39
QQQ,212_bull_continuation,GEX_MID_VEX_HIGH,82,51.22,41.46,62.2,-1.83,61.47
QQQ,212_bull_continuation,GEX_MID_VEX_MID,43,55.81,39.53,69.77,15.68,107.18
QQQ,212_bull_reversal,GEX_HIGH_VEX_HIGH,58,56.9,44.83,69.87,0.09,48.36
QQQ,212_bull_reversal,GEX_HIGH_VEX_LOW,74,59.46,47.3,70.27,9.31,87.89
QQQ,212_bull_reversal,GEX_HIGH_VEX_MID,46,60.87,47.83,73.91,5.27,130.42
QQQ,212_bull_reversal,GEX_LOW_VEX_HIGH,30,60.0,43.33,76.67,8.81,95.5
QQQ,212_bull_reversal,GEX_LOW_VEX_LOW,63,57.14,45.2,68.25,22.53,191.99
QQQ,212_bull_reversal,GEX_LOW_VEX_MID,75,58.67,47.3,70.67,16.78,145.7
QQQ,212_bull_reversal,GEX_MID_VEX_HIGH,101,61.39,52.48,70.3,10.55,73.75
QQQ,212_bull_reversal,GEX_MID_VEX_MID,49,48.98,34.69,63.27,-8.63,109.44
QQQ,22_bear_continuation,GEX_HIGH_VEX_HIGH,175,56.0,48.27,63.43,0.69,61.92
QQQ,22_bear_continuation,GEX_HIGH_VEX_LOW,355,57.46,52.53,62.96,10.06,90.19
QQQ,22_bear_continuation,GEX_HIGH_VEX_MID,163,56.44,49.69,63.8,6.81,98.3
QQQ,22_bear_continuation,GEX_LOW_VEX_HIGH,169,53.25,46.15,60.95,1.96,138.03
QQQ,22_bear_continuation,GEX_LOW_VEX_LOW,341,51.61,46.92,56.6,-3.04,146.78
QQQ,22_bear_continuation,GEX_LOW_VEX_MID,415,55.66,50.96,60.24,27.4,166.66
QQQ,22_bear_continuation,GEX_MID_VEX_HIGH,429,58.04,53.38,62.7,12.16,113.67
QQQ,22_bear_continuation,GEX_MID_VEX_LOW,105,51.43,41.9,60.0,5.07,117.37
QQQ,22_bear_continuation,GEX_MID_VEX_MID,266,47.74,42.48,54.33,-8.54,124.33
QQQ,22_bear_reversal,GEX_HIGH_VEX_HIGH,205,55.61,48.78,62.44,-2.07,56.45
QQQ,22_bear_reversal,GEX_HIGH_VEX_LOW,351,52.99,47.58,58.27,-1.39,82.35
QQQ,22_bear_reversal,GEX_HIGH_VEX_MID,179,58.66,51.4,64.8,6.79,76.31
QQQ,22_bear_reversal,GEX_LOW_VEX_HIGH,129,51.94,44.19,59.69,21.08,137.35
QQQ,22_bear_reversal,GEX_LOW_VEX_LOW,258,52.33,46.31,59.12,-0.54,132.77
QQQ,22_bear_reversal,GEX_LOW_VEX_MID,321,52.65,47.35,57.94,-0.24,149.55
QQQ,22_bear_reversal,GEX_MID_VEX_HIGH,417,60.19,55.88,65.35,6.19,96.67
QQQ,22_bear_reversal,GEX_MID_VEX_LOW,67,43.28,31.34,53.73,-13.55,96.12
QQQ,22_bear_reversal,GEX_MID_VEX_MID,259,56.37,50.97,62.16,8.76,115.41
QQQ,22_bull_continuation,GEX_HIGH_VEX_HIGH,311,53.7,48.06,59.49,-2.34,55.54
QQQ,22_bull_continuation,GEX_HIGH_VEX_LOW,578,54.33,50.0,58.4,2.85,80.33
QQQ,22_bull_continuation,GEX_HIGH_VEX_MID,313,60.38,54.95,65.34,-0.57,92.54
QQQ,22_bull_continuation,GEX_LOW_VEX_HIGH,230,60.87,54.78,67.39,10.86,91.24
QQQ,22_bull_continuation,GEX_LOW_VEX_LOW,408,54.17,48.4,58.95,-3.68,120.19
QQQ,22_bull_continuation,GEX_LOW_VEX_MID,512,53.52,49.61,57.81,-3.23,139.49
QQQ,22_bull_continuation,GEX_MID_VEX_HIGH,732,57.65,54.23,61.61,5.12,81.85
QQQ,22_bull_continuation,GEX_MID_VEX_LOW,137,60.58,52.55,69.34,14.4,83.6
QQQ,22_bull_continuation,GEX_MID_VEX_MID,428,59.81,54.89,64.25,11.2,112.95
QQQ,22_bull_reversal,GEX_HIGH_VEX_HIGH,199,54.27,47.47,61.31,-2.32,59.2
QQQ,22_bull_reversal,GEX_HIGH_VEX_LOW,343,58.31,52.91,62.97,1.67,85.0
QQQ,22_bull_reversal,GEX_HIGH_VEX_MID,153,58.17,50.33,65.36,5.7,70.07
QQQ,22_bull_reversal,GEX_LOW_VEX_HIGH,140,57.14,50.0,65.71,14.81,115.9
QQQ,22_bull_reversal,GEX_LOW_VEX_LOW,294,54.08,48.12,59.18,2.71,120.76
QQQ,22_bull_reversal,GEX_LOW_VEX_MID,336,51.49,45.83,56.7,-2.37,159.57
QQQ,22_bull_reversal,GEX_MID_VEX_HIGH,415,57.35,52.89,61.93,11.19,94.57
