trade_type,duration_minutes,price_change,return_pct,entry_timestamp,entry_price,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_EMA9,entry_EMA20,entry_EMA50,entry_VWAP,entry_RVOL20,entry_RVOL_MOD,entry_RVOL_MOD_EXCL,entry_ATR14_W,entry_RSI14_W,entry_StochRSI_K,entry_StochRSI_D,entry_OBV,exit_timestamp,exit_price,exit_open,exit_high,exit_low,exit_close,exit_volume,exit_EMA9,exit_EMA20,exit_EMA50,exit_VWAP,exit_RVOL20,exit_RVOL_MOD,exit_RVOL_MOD_EXCL,exit_ATR14_W,exit_RSI14_W,exit_StochRSI_K,exit_StochRSI_D,exit_OBV
put,1,-0.030000000000001137,0.013376733401703809,2025-07-21 11:09:00,224.27,224.23,224.3,224.225,224.27,81223.0,224.24618069840884,224.22181301673962,224.1414803180934,223.88832868980566,1.8255128586920488,1.692351637723386,1.7207169035866365,0.09839976816529612,54.92663645218148,44.38191366425398,51.60705595408792,981928.0,2025-07-21 11:10:00,224.24,224.27,224.31,224.22,224.24,27594.0,224.2449445587271,224.22354511038347,224.1453438350309,223.88994023769743,0.6631738325842966,0.49406024448558344,0.48817954355902643,0.09779978472491808,52.51583802785761,38.905720149622844,47.37327735259956,954334.0
call,1,0.060000000000002274,0.02675704602212017,2025-07-21 11:11:00,224.24,224.24,224.27,224.21,224.24,30516.0,224.2439556469817,224.2251122427279,224.14905584150029,223.89162584186542,0.7301744919872466,0.5973255303691052,0.591653064088455,0.09509980010170982,52.51583802785761,35.25492447320209,43.333826392800404,954334.0,2025-07-21 11:12:00,224.3,224.25,224.3,224.25,224.3,39787.0,224.2551645175854,224.23224441008713,224.154975220265,223.89406967109463,0.9812660001085172,0.770214032253853,0.7660230477930677,0.09259267152301642,56.903372507568136,45.98612033531731,44.21792437363937,994121.0
put,3,-0.21000000000000796,0.09362460989746231,2025-07-21 11:12:00,224.3,224.25,224.3,224.25,224.3,39787.0,224.2551645175854,224.23224441008713,224.154975220265,223.89406967109463,0.9812660001085172,0.770214032253853,0.7660230477930677,0.09259267152301642,56.903372507568136,45.98612033531731,44.21792437363937,994121.0,2025-07-21 11:15:00,224.09,224.135,224.15,224.085,224.09,42742.0,224.19120423300376,224.20503448966502,224.1520300615069,223.89843118827733,1.0450353972672404,0.8397452855576985,0.8365533422961408,0.09265892832947027,41.71868299257945,13.625517136390314,26.72712435820939,883007.0
call,1,0.03999999999999204,0.017849970993793585,2025-07-21 11:15:00,224.09,224.135,224.15,224.085,224.09,42742.0,224.19120423300376,224.20503448966502,224.1520300615069,223.89843118827733,1.0450353972672404,0.8397452855576985,0.8365533422961408,0.09265892832947027,41.71868299257945,13.625517136390314,26.72712435820939,883007.0,2025-07-21 11:16:00,224.13,224.07,224.15,224.07,224.13,40504.0,224.178963386403,224.19788834779217,224.15116613752625,223.89978508824697,0.9885606757670352,0.679045928446583,0.673896173194416,0.09175471916308044,45.056250913358255,15.13604709446659,22.863431936961792,923511.0
put,3,-0.12000000000000455,0.05354035604336972,2025-07-21 11:16:00,224.13,224.07,224.15,224.07,224.13,40504.0,224.178963386403,224.19788834779217,224.15116613752625,223.89978508824697,0.9885606757670352,0.679045928446583,0.673896173194416,0.09175471916308044,45.056250913358255,15.13604709446659,22.863431936961792,923511.0,2025-07-21 11:19:00,224.01,224.03,224.05,224.005,224.01,39876.0,224.10850925383838,224.15607020597196,224.1383298649375,223.90280559477335,0.9664659860977809,0.7169501432923541,0.7121507582902517,0.09046469314915871,37.690881925205765,4.484754694656767,11.259104898201002,797614.0
call,1,0.1150000000000091,0.05133699388420566,2025-07-21 11:19:00,224.01,224.03,224.05,224.005,224.01,39876.0,224.10850925383838,224.15607020597196,224.1383298649375,223.90280559477335,0.9664659860977809,0.7169501432923541,0.7121507582902517,0.09046469314915871,37.690881925205765,4.484754694656767,11.259104898201002,797614.0,2025-07-21 11:20:00,224.125,224.01,224.13,223.995,224.125,73756.0,224.1118074030707,224.15311113873653,224.13780712513602,223.90478449021046,1.7712116864045646,1.2088055247780685,1.214845200722377,0.09364578649564673,47.42956355453947,19.88627784774224,14.134829214714747,871370.0
put,1,-0.044999999999987494,0.0200780814277691,2025-07-21 11:20:00,224.125,224.01,224.13,223.995,224.125,73756.0,224.1118074030707,224.15311113873653,224.13780712513602,223.90478449021046,1.7712116864045646,1.2088055247780685,1.214845200722377,0.09364578649564673,47.42956355453947,19.88627784774224,14.134829214714747,871370.0,2025-07-21 11:21:00,224.08,224.12,224.145,224.07,224.08,41571.0,224.1054459224566,224.1461481731426,224.13554017905224,223.905972958602,0.9834413468351197,0.6595919912593277,0.6542890098549082,0.09231394460310174,44.49870225413009,25.068967129035002,17.7795418528215,829799.0
call,3,0.18499999999997385,0.0825598000713914,2025-07-21 11:21:00,224.08,224.12,224.145,224.07,224.08,41571.0,224.1054459224566,224.1461481731426,224.13554017905224,223.905972958602,0.9834413468351197,0.6595919912593277,0.6542890098549082,0.09231394460310174,44.49870225413009,25.068967129035002,17.7795418528215,829799.0,2025-07-21 11:24:00,224.265,224.22,224.265,224.2,224.265,66582.0,224.15978831229785,224.16326965981915,224.1439459674282,223.91277661547306,1.4685985649721751,1.5416749233208118,1.5618177208007122,0.09163037036917498,57.088950493028975,68.55766592470475,45.42603524341386,992731.0
put,4,-0.1449999999999818,0.06465565291061103,2025-07-21 11:24:00,224.265,224.22,224.265,224.2,224.265,66582.0,224.15978831229785,224.16326965981915,224.1439459674282,223.91277661547306,1.4685985649721751,1.5416749233208118,1.5618177208007122,0.09163037036917498,57.088950493028975,68.55766592470475,45.42603524341386,992731.0,2025-07-21 11:28:00,224.12,224.155,224.18,224.12,224.12,38598.0,224.16746529271725,224.16861999546117,224.14969101095087,223.91802664808077,0.8940351332320349,0.7103419644767816,0.7054765607932801,0.08402645533407993,46.148092093628385,61.72405483778105,64.4547246011203,864169.0
call,3,0.07999999999998408,0.03569516330536502,2025-07-21 11:28:00,224.12,224.155,224.18,224.12,224.12,38598.0,224.16746529271725,224.16861999546117,224.14969101095087,223.91802664808077,0.8940351332320349,0.7103419644767816,0.7054765607932801,0.08402645533407993,46.148092093628385,61.72405483778105,64.4547246011203,864169.0,2025-07-21 11:31:00,224.2,224.21,224.265,224.18,224.2,36423.0,224.17870222987128,224.17398926129664,224.15410624682332,223.92217150261968,0.8785803966311798,0.6534895510617924,0.6481422165278667,0.08656564226274303,52.277548909818925,69.04661388392857,66.01043956916972,969179.0
