Time,Open,High,Low,Last,Change,%Chg,Volume,ATR14_W,RSI14_W,EMA9,EMA20,EMA50,VWAP,RVOL20,RVOL_MOD,RVOL_MOD_EXCL,OBV,StochRSI_K,StochRSI_D
2025-08-07 18:16:00,220.63,220.63,220.63,220.63,0.04,+0.02%,200.0,0.051149579483673276,62.93763827694046,220.58418423038052,220.51247679103392,220.40662019833195,219.89426767400255,0.25516713447307987,0.13001595650375272,0.12484394506866417,101366.0,80.24851098511878,84.83592035381662
2025-08-07 18:17:00,220.56,220.63,220.56,220.63,0.0,0.00%,240.0,0.05249603809198184,62.937638276940454,220.59334738430442,220.52366947760214,220.41538019055423,219.89427339501407,0.3107801877630301,0.2325806764221339,0.22355132856162369,101366.0,77.64663264564307,82.43949111775878
2025-08-07 18:18:00,220.62,220.64,220.62,220.64,0.01,0.00%,346.0,0.050174892513981835,63.61851353308665,220.60267790744354,220.53474857497335,220.4241888105325,219.8942819513734,0.4416081684747926,0.6919231196533718,0.6796071634893125,101712.0,68.57735148416093,77.81877790655949
2025-08-07 18:19:00,220.6204,220.6204,220.6204,220.6204,-0.0196,-0.01%,300.0,0.04799097162012577,61.24366251244464,220.60622232595483,220.54290585354732,220.43188336698222,219.894289240196,0.3780718336483932,0.5504055619930475,0.5369928400954654,101412.0,50.20086358127278,68.61280646479726
2025-08-07 18:20:00,220.62,220.6201,220.62,220.6201,-0.0003,0.00%,600.0,0.04459161650440142,61.2060010894307,220.60899786076388,220.55025767701903,220.4392644114143,219.89430381071034,0.7338551859099804,0.09011123105082837,0.08495775711521217,100812.0,37.754332364792475,58.32664843146233
2025-08-07 18:22:00,220.61,220.61,220.61,220.61,-0.0101,0.00%,500.0,0.04212792961122947,59.87113450632889,220.60919828861114,220.55594742206486,220.4459599246922,219.89431578394846,0.611545988258317,0.2445286709866732,0.23280357586292527,100312.0,25.16955490986165,47.27428392426211
2025-08-07 18:23:00,220.62,220.63,220.62,220.63,0.02,+0.01%,760.0,0.04054736321042607,61.65454397334464,220.61335863088894,220.5630000485349,220.45317718254742,219.8943344063063,0.9041161075422317,0.9645544374943341,0.9619316522247103,101072.0,25.358832611000214,39.96913348650814
2025-08-07 18:24:00,220.64,220.7,220.64,220.7,0.07,+0.03%,1354.0,0.042651122981109436,67.15627463582584,220.63068690471118,220.57604766296015,220.46285650872204,219.8943699971753,1.706794403126182,2.2454394693200666,2.434978082499719,102426.0,50.23922174066681,43.39249623789436
2025-08-07 18:26:00,220.72,220.8,220.72,220.8,0.1,+0.05%,775.0,0.04674747133960324,73.09513236831387,220.66454952376895,220.59737645696396,220.47607782210548,219.89439278712643,1.0601190069078723,1.3871678369819633,1.4089884372045671,103201.0,66.8261478271112,51.20371343429997
2025-08-07 18:27:00,220.76,220.83,220.76,220.78,-0.02,-0.01%,5185.0,0.04840836624391883,70.35506914923438,220.6876396190152,220.61476917534836,220.48799633888567,219.8945481194882,5.6984283987251345,4.9177218191302705,6.1951326877122375,98016.0,70.9773036782364,57.794910182278784
