ID,Entry_Time,Trade_Type,Exit_Type,Exit_Time,Duration,Price_Change,Return_Pct,Entry_Last,Entry_Volume,Entry_ATR14_W,Entry_RSI14_W,Entry_EMA9,Entry_EMA20,Entry_EMA50,Entry_VWAP,Entry_RVOL20,Entry_RVOL_MOD,Entry_RVOL_MOD_EXCL,Entry_OBV,Entry_StochRSI_K,Entry_StochRSI_D,Exit_Last,Exit_Volume,Exit_ATR14_W,Exit_RSI14_W,Exit_EMA9,Exit_EMA20,Exit_EMA50,Exit_VWAP,Exit_RVOL20,Exit_RVOL_MOD,Exit_RVOL_MOD_EXCL,Exit_OBV,Exit_StochRSI_K,Exit_StochRSI_D
6,2025-08-08 13:03:00,PUT,RUNNER,2025-08-08 13:48:00,45.0,0.5949999999999989,-0.27,220.175,25991.0,0.0897419310705637,33.38194483935051,220.24327076337835,220.36757371327624,220.5123553265005,220.7290292632948,0.7998830535337836,0.7121128502596981,0.7071475165284952,-12156808.0,42.60061447060895,34.77127339452927,220.77,22479.0,0.0757402023842836,70.9546529316331,220.69820560460568,220.6251499469076,220.53042233308372,220.7002651026908,0.8108576066372081,0.6156911182005286,0.6099735993736387,-11781051.0,83.60850239988396,71.14510653783533
7,2025-08-08 12:20:00,PUT,EXIT,2025-08-08 12:33:00,13.0,-0.5400000000000205,0.244,221.11,17947.0,0.1062832136131799,71.72175387384732,221.0474065315516,220.85999026236496,220.6095920395524,220.74262706322835,0.3794648756595493,0.3929525068435117,0.3873538829480815,-11760598.0,71.50710255872382,81.14213677593341,220.57,31423.0,0.0995858054882936,35.72440561368312,220.75254457995155,220.8154709073335,220.70119480416244,220.7485399982461,0.7807683945709227,0.8521878486559579,0.8491992304376083,-12071171.0,1.8731219341572527,4.2335461255540245
7,2025-08-08 12:20:00,PUT,STOP_LOSS,2025-08-08 12:50:00,30.0,-0.5900000000000034,0.267,221.11,17947.0,0.1062832136131799,71.72175387384732,221.0474065315516,220.85999026236496,220.6095920395524,220.74262706322835,0.3794648756595493,0.3929525068435117,0.3873538829480815,-11760598.0,71.50710255872382,81.14213677593341,220.52,22845.0,0.0854313842116934,35.57227880746861,220.61815636369613,220.6727385305928,220.67718784245443,220.7458002451968,0.890924619470476,0.5276344256976687,0.5217662256304899,-11941190.0,19.968504979199047,39.25750144074675
7,2025-08-08 12:20:00,PUT,RUNNER,2025-08-08 13:02:00,42.0,-1.0200000000000102,0.461,221.11,17947.0,0.1062832136131799,71.72175387384732,221.0474065315516,220.85999026236496,220.6095920395524,220.74262706322835,0.3794648756595493,0.3929525068435117,0.3873538829480815,-11760598.0,71.50710255872382,81.14213677593341,220.09,44482.0,0.0881836180759928,25.54290144643056,220.26033845422293,220.38784463046323,220.5261249316638,220.73012516924632,1.3585899154890002,0.7673581846052236,0.7630286147968213,-12182799.0,25.82158650978636,30.85660285648943
8,2025-08-08 11:45:00,CALL,EXIT,2025-08-08 11:56:00,11.0,0.6099999999999852,0.277,219.86,65163.0,0.122080873503082,34.71132399990162,219.89876257613727,220.0404317621512,220.28120185954936,220.76483431393143,1.4263497000666518,1.4117777762102606,1.4257562220804083,-12333745.0,18.70990163444732,12.056201954681034,220.47,51930.0,0.1129629234210328,67.75564839047243,220.233517049818,220.15332913234735,220.2451671871761,220.73759592199147,1.0724829539646037,0.857604059369664,0.8547062806839344,-12008960.0,97.94135817428824,92.73415464055
8,2025-08-08 11:45:00,CALL,STOP_LOSS,2025-08-08 12:05:00,20.0,0.7799999999999727,0.355,219.86,65163.0,0.122080873503082,34.71132399990162,219.89876257613727,220.0404317621512,220.28120185954936,220.76483431393143,1.4263497000666518,1.4117777762102606,1.4257562220804083,-12333745.0,18.70990163444732,12.056201954681034,220.64,42301.0,0.0985709457334902,71.03984591558167,220.4878583672359,220.3606907682707,220.31927100291077,220.7298318170381,0.992783130126618,0.9757555502865132,0.9751926215133406,-11938573.0,93.45615848356704,90.33575061096349
8,2025-08-08 11:45:00,CALL,RUNNER,2025-08-08 12:16:00,31.0,1.3149999999999977,0.598,219.86,65163.0,0.122080873503082,34.71132399990162,219.89876257613727,220.0404317621512,220.28120185954936,220.76483431393143,1.4263497000666518,1.4117777762102606,1.4257562220804083,-12333745.0,18.70990163444732,12.056201954681034,221.175,67964.0,0.1106071543070573,78.73992401745174,220.8928870399208,220.7134377898804,220.5142350682308,220.73447994603424,1.587354230554537,1.5887346668957163,1.6113213511560691,-11725902.0,76.92752153796816,78.10891066949875
9,2025-08-08 10:15:00,PUT,EXIT,2025-08-08 11:01:00,46.0,-0.8300000000000125,0.375,221.18,91897.0,0.1856507612479039,54.348431519726944,221.2825056461193,221.12327206926184,220.95451907730663,220.86859100349025,0.8514539583709736,1.2004858971644252,1.2062438706072296,-11400538.0,43.72312680355643,65.26997973472022,220.35,107287.0,0.1222772362590307,25.865737112443668,220.5487712760521,220.6796719774413,220.82210944211687,220.8805158557609,2.1541757522457945,1.8426402487879732,1.880365769740996,-12014758.0,4.106495780970161,6.842962724055042
9,2025-08-08 10:15:00,PUT,STOP_LOSS,2025-08-08 11:19:00,64.0,-0.8400000000000034,0.38,221.18,91897.0,0.1856507612479039,54.348431519726944,221.2825056461193,221.12327206926184,220.95451907730663,220.86859100349025,0.8514539583709736,1.2004858971644252,1.2062438706072296,-11400538.0,43.72312680355643,65.26997973472022,220.34,26535.0,0.1121589045785948,38.13502810811202,220.433322270448,220.49356602624567,220.64265874174748,220.84507077898155,0.5069072924158761,0.4770857671848383,0.4712189317988955,-11992605.0,43.84389936981896,56.3860194818205
9,2025-08-08 10:15:00,PUT,RUNNER,2025-08-08 11:40:00,85.0,-1.3499999999999943,0.61,221.18,91897.0,0.1856507612479039,54.348431519726944,221.2825056461193,221.12327206926184,220.95451907730663,220.86859100349025,0.8514539583709736,1.2004858971644252,1.2062438706072296,-11400538.0,43.72312680355643,65.26997973472022,219.83,54652.0,0.1204490892931531,27.105616453943924,220.05309868205936,220.180892424024,220.3823048663732,220.78852866029905,1.2696967127326289,0.9740371272396292,0.9734353848815788,-12372384.0,8.268780454038906,20.806951288242
10,2025-08-08 10:38:00,PUT,EXIT,2025-08-08 11:01:00,23.0,-0.8091000000000008,0.366,221.1591,33111.0,0.1446679811882312,56.05993188735506,221.09934365615783,221.05694411044928,220.99938571019192,220.90050063537117,0.5379262278636071,0.5609316574666825,0.5551283412597731,-11580641.0,83.65229386273782,75.2610191235869,220.35,107287.0,0.1222772362590307,25.865737112443668,220.5487712760521,220.6796719774413,220.82210944211687,220.8805158557609,2.1541757522457945,1.8426402487879732,1.880365769740996,-12014758.0,4.106495780970161,6.842962724055042
10,2025-08-08 10:38:00,PUT,STOP_LOSS,2025-08-08 11:19:00,41.0,-0.8190999999999917,0.37,221.1591,33111.0,0.1446679811882312,56.05993188735506,221.09934365615783,221.05694411044928,220.99938571019192,220.90050063537117,0.5379262278636071,0.5609316574666825,0.5551283412597731,-11580641.0,83.65229386273782,75.2610191235869,220.34,26535.0,0.1121589045785948,38.13502810811202,220.433322270448,220.49356602624567,220.64265874174748,220.84507077898155,0.5069072924158761,0.4770857671848383,0.4712189317988955,-11992605.0,43.84389936981896,56.3860194818205
10,2025-08-08 10:38:00,PUT,RUNNER,2025-08-08 11:40:00,62.0,-1.3290999999999826,0.601,221.1591,33111.0,0.1446679811882312,56.05993188735506,221.09934365615783,221.05694411044928,220.99938571019192,220.90050063537117,0.5379262278636071,0.5609316574666825,0.5551283412597731,-11580641.0,83.65229386273782,75.2610191235869,219.83,54652.0,0.1204490892931531,27.105616453943924,220.05309868205936,220.180892424024,220.3823048663732,220.78852866029905,1.2696967127326289,0.9740371272396292,0.9734353848815788,-12372384.0,8.268780454038906,20.806951288242
11,2025-08-08 09:41:00,CALL,EXIT,2025-08-08 09:53:00,12.0,0.4299999999999784,0.195,220.3,81426.0,0.1639220268256102,27.044028278533705,220.5468120582204,220.72498083341708,220.9094795990744,220.87909669384663,0.8240059301387157,0.7615679959073517,0.7572690156919066,-11565939.0,7.918291223499691,9.967369707534582,220.73,130238.0,0.1820137677752711,53.97874822347788,220.5429923134758,220.5806985685702,220.75527526534717,220.75461883881664,1.15463519031737,1.3899790667971208,1.403006283010428,-11495440.0,89.95984222471365,83.31346291577837
11,2025-08-08 09:41:00,CALL,STOP_LOSS,2025-08-08 10:01:00,20.0,0.5600000000000023,0.254,220.3,81426.0,0.1639220268256102,27.044028278533705,220.5468120582204,220.72498083341708,220.9094795990744,220.87909669384663,0.8240059301387157,0.7615679959073517,0.7572690156919066,-11565939.0,7.918291223499691,9.967369707534582,220.86,162461.0,0.1735127230026335,59.231730999664485,220.6056015980953,220.5881058078372,220.7083006976423,220.7315414868501,1.7535219172700232,1.9317165420347029,1.9755414138138696,-11225023.0,74.55410030886493,67.6473432530039
11,2025-08-08 09:41:00,CALL,RUNNER,2025-08-08 10:09:00,28.0,1.174999999999983,0.533,220.3,81426.0,0.1639220268256102,27.044028278533705,220.5468120582204,220.72498083341708,220.9094795990744,220.87909669384663,0.8240059301387157,0.7615679959073517,0.7572690156919066,-11565939.0,7.918291223499691,9.967369707534582,221.475,124681.0,0.1928190799021672,70.52399355756894,221.16987566421196,220.95263327491372,220.8514891500308,220.8149734952281,1.198974513822042,1.5302626940735065,1.5498297632549076,-11242282.0,93.2414321856354,91.63951042109473
12,2025-08-08 09:30:00,CALL,EXIT,2025-08-08 09:36:00,6.0,-0.5,-0.226,221.19,382709.0,0.0738660182352996,66.1206368745905,221.0306721926425,221.0059480132682,221.0644193093664,221.1525932951805,18.281083559831284,0.8167935953285713,0.8132461689778274,-10435128.0,91.94272156967584,82.91815833760153,220.69,121714.0,0.1427679357150708,32.147515310105064,220.86429461126812,220.92353702535297,221.01490634501644,220.99966801248345,1.6820816717719875,0.9174394234632453,0.9156395251989532,-11341281.0,13.408947571344248,31.593362341895663
12,2025-08-08 09:30:00,CALL,STOP_LOSS,2025-08-08 09:38:00,8.0,-0.6349999999999909,-0.287,221.19,382709.0,0.0738660182352996,66.1206368745905,221.0306721926425,221.0059480132682,221.0644193093664,221.1525932951805,18.281083559831284,0.8167935953285713,0.8132461689778274,-10435128.0,91.94272156967584,82.91815833760153,220.555,86727.0,0.1527182711012608,28.404123435978363,220.78014855121165,220.8713307622504,220.9859477640848,220.97464041536668,1.080124792168731,0.6926248141800408,0.68759269672943,-11355242.0,8.017725571737158,19.38664475533396
12,2025-08-08 09:30:00,CALL,RUNNER,2025-08-08 09:40:00,10.0,-0.9998999999999967,-0.452,221.19,382709.0,0.0738660182352996,66.1206368745905,221.0306721926425,221.0059480132682,221.0644193093664,221.1525932951805,18.281083559831284,0.8167935953285713,0.8132461689778274,-10435128.0,91.94272156967584,82.91815833760153,220.1901,182747.0,0.1657621827352714,19.25045067230828,220.6085150727755,220.7697156579873,220.93435631740397,220.8997057213221,1.9270869032918665,1.7679517004292695,1.8008800067010589,-11647365.0,3.563433587438737,10.991908949552029
