ticker,alert_kind,alert_direction,ftfc_prev_day_dir,vix_tercile,tod_bucket,regime,horizon,n,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,baseline_pct_up,lift_pp,mean_ret_bps,std_ret_bps,p_value,p_adj,reject
SPY,gamma_gate_break,CALL,UP,LOW,open,negative_gamma,30m,11,36.36363636363637,9.090909090909092,63.63636363636363,52.44,-16.07636363636363,-5.926154502615092,17.54117602853094,0.2856750982278973,0.6020842017325172,False
SPY,gamma_gate_break,CALL,UP,LOW,open,negative_gamma,60m,11,36.36363636363637,9.090909090909092,63.63636363636363,53.28,-16.916363636363634,-8.143807622730135,20.941585760422946,0.2607895862291394,0.5718230376950854,False
SPY,gamma_gate_break,CALL,UP,LOW,open,negative_gamma,240m,11,63.63636363636363,36.36363636363637,90.9090909090909,54.63,9.00636363636363,-1.3808072531416087,37.96262927252464,0.5485112257279141,0.8077297325903993,False
SPY,gamma_gate_break,CALL,UP,LOW,open,negative_gamma,1d,11,90.9090909090909,72.72727272727273,100.0,55.2,35.709090909090904,185.09168154107257,134.81862593388368,0.017238182485206366,0.09321098674127423,True
SPY,gamma_gate_break,CALL,UP,LOW,open,negative_gamma,5d,11,90.9090909090909,72.72727272727273,100.0,61.47,29.439090909090908,221.7316557039203,186.50631845048395,0.04482732726386418,0.18845581279316437,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,negative_gamma,5m,19,47.368421052631575,26.31578947368421,68.42105263157895,50.52,-3.151578947368428,-0.6429436405745002,7.507860224853047,0.7834982166168432,0.9213305979882629,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,negative_gamma,15m,19,63.1578947368421,42.10526315789473,84.21052631578947,51.67,11.487894736842101,-0.9298093466947789,19.13998599887666,0.31631919154149335,0.630697083716365,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,negative_gamma,30m,19,57.89473684210527,36.84210526315789,78.94736842105263,52.44,5.4547368421052695,2.586692089385276,25.27282028465216,0.6340030137077777,0.8511714252273682,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,negative_gamma,60m,19,63.1578947368421,42.10526315789473,84.21052631578947,53.28,9.877894736842102,3.33830260489466,31.9871251418942,0.3881408828665367,0.7081348931687197,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,negative_gamma,1d,19,94.73684210526315,84.21052631578947,100.0,55.2,39.53684210526315,153.41147257596376,184.44966645625158,0.0005291785301777541,0.006139498481188506,True
SPY,gamma_gate_break,CALL,UP,MID,afternoon,negative_gamma,5d,16,87.5,68.75,100.0,61.47,26.03,195.12172217165084,172.9341088473278,0.03239887966091737,0.1477735160106727,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,unknown,5m,11,63.63636363636363,36.36363636363637,90.9090909090909,50.52,13.11636363636363,0.3531567668007457,3.4006060014340043,0.3842522103536219,0.7053477594048819,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,unknown,15m,11,63.63636363636363,36.36363636363637,90.9090909090909,51.67,11.966363636363631,3.44024129694933,9.652811325301968,0.4270779146593384,0.747766069651771,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,unknown,30m,11,72.72727272727273,45.45454545454545,100.0,52.44,20.287272727272736,3.5201887202002307,11.270951350084214,0.17788020057943665,0.4641197373197092,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,unknown,60m,11,63.63636363636363,36.36363636363637,90.9090909090909,53.28,10.356363636363632,5.12502061923687,17.439489286109236,0.4911717374992741,0.7857432748482365,False
SPY,gamma_gate_break,CALL,UP,MID,afternoon,unknown,1d,11,100.0,100.0,100.0,55.2,44.8,272.7499096520998,251.35660368479682,0.00280903012928424,0.023474062968494178,True
SPY,gamma_gate_break,CALL,UP,MID,afternoon,unknown,5d,11,63.63636363636363,36.36363636363637,90.9090909090909,61.47,2.1663636363636343,184.4179449494839,367.6337443747156,0.8826288838363068,0.9557589087515291,False
SPY,gamma_gate_break,CALL,UP,MID,midday,negative_gamma,5m,25,48.0,28.000000000000004,68.0,50.52,-2.520000000000003,1.662502243774869,5.152917081987534,0.801030529104257,0.9276214246023474,False
SPY,gamma_gate_break,CALL,UP,MID,midday,negative_gamma,15m,25,68.0,48.0,84.0,51.67,16.33,3.4268698329102976,12.343534013912368,0.10227740999749124,0.3257400613064692,False
SPY,gamma_gate_break,CALL,UP,MID,midday,negative_gamma,30m,25,76.0,60.0,92.0,52.44,23.560000000000002,3.6056316640349046,15.207990489545585,0.018333622234711244,0.09745036884783412,True
SPY,gamma_gate_break,CALL,UP,MID,midday,negative_gamma,60m,25,68.0,48.0,84.0,53.28,14.719999999999999,3.6486331137345873,21.470018095066894,0.14016482024479848,0.3895278144012423,False
SPY,gamma_gate_break,CALL,UP,MID,midday,negative_gamma,240m,22,59.09090909090909,36.36363636363637,77.27272727272727,54.63,4.460909090909091,-9.781563540775187,56.35800711140132,0.6742837462636182,0.8735857107811538,False
SPY,gamma_gate_break,CALL,UP,MID,midday,negative_gamma,1d,25,68.0,48.0,88.0,55.2,12.799999999999997,80.57089476998942,143.70771154832119,0.19810164117201734,0.49525410293004335,False
SPY,gamma_gate_break,CALL,UP,MID,midday,negative_gamma,5d,25,68.0,48.0,88.0,61.47,6.530000000000001,49.39786241888868,169.76265959448529,0.5022898632200476,0.7940513917143847,False
SPY,gamma_gate_break,CALL,UP,MID,midday,unknown,5m,26,34.61538461538461,15.384615384615385,53.84615384615385,50.52,-15.90461538461539,-0.7096256436156408,6.366345082898463,0.10479336923127747,0.33099206706349954,False
SPY,gamma_gate_break,CALL,UP,MID,midday,unknown,15m,26,50.0,30.76923076923077,69.23076923076923,51.67,-1.6700000000000017,2.088205616360498,9.533535096636568,0.8646937435738677,0.9453879447125088,False
SPY,gamma_gate_break,CALL,UP,MID,midday,unknown,30m,26,53.84615384615385,34.61538461538461,73.07692307692307,52.44,1.406153846153849,3.708989949953108,14.314286920383596,0.8858391054091586,0.9563246675015791,False
SPY,gamma_gate_break,CALL,UP,MID,midday,unknown,60m,26,65.38461538461539,46.15384615384615,84.61538461538461,53.28,12.104615384615386,3.466641329635593,25.691996978511206,0.2160506613021349,0.5070830797170559,False
SPY,gamma_gate_break,CALL,UP,MID,midday,unknown,240m,21,71.42857142857143,52.38095238095239,90.47619047619048,54.63,16.798571428571428,27.476437965270065,59.70115117660665,0.1220422295104393,0.36369193083534906,False
SPY,gamma_gate_break,CALL,UP,MID,midday,unknown,1d,26,92.3076923076923,80.76923076923077,100.0,55.2,37.107692307692304,333.1714069191564,265.96775049770457,0.00014186737736210375,0.0020425483849122166,True
SPY,gamma_gate_break,CALL,UP,MID,midday,unknown,5d,26,84.61538461538461,69.23076923076923,96.15384615384616,61.47,23.145384615384614,356.0492223171502,301.20561003679353,0.015306450943977978,0.08737241923881103,True
SPY,gamma_gate_break,CALL,UP,MID,open,negative_gamma,5m,48,45.83333333333333,31.25,58.38541666666662,50.52,-4.6866666666666745,-1.0234067531012212,8.173846060265255,0.5160548530363205,0.7981770236092267,False
SPY,gamma_gate_break,CALL,UP,MID,open,negative_gamma,15m,48,41.66666666666667,29.114583333333336,56.25,51.67,-10.00333333333333,-1.4146412346248567,15.850043368717497,0.1654794815335352,0.4414017420369968,False
SPY,gamma_gate_break,CALL,UP,MID,open,negative_gamma,30m,47,48.93617021276596,31.914893617021278,63.829787234042556,52.44,-3.5038297872340394,-0.6135517764166142,30.90784495992001,0.630520758401419,0.8497387502753074,False
SPY,gamma_gate_break,CALL,UP,MID,open,negative_gamma,60m,47,55.319148936170215,40.42553191489361,68.08510638297872,53.28,2.039148936170214,-6.079987758633502,35.70560800543003,0.7793259376349759,0.9213305979882629,False
SPY,gamma_gate_break,CALL,UP,MID,open,negative_gamma,240m,47,46.808510638297875,31.914893617021278,61.702127659574465,54.63,-7.8214893617021275,-5.955066905801453,52.021140463814305,0.2814551225780131,0.5974047450812178,False
SPY,gamma_gate_break,CALL,UP,MID,open,negative_gamma,1d,48,66.66666666666666,54.166666666666664,79.16666666666666,55.2,11.466666666666654,145.8371431256197,304.10897621980337,0.11014742082535167,0.340119296863812,False
SPY,gamma_gate_break,CALL,UP,MID,open,negative_gamma,5d,47,74.46808510638297,61.702127659574465,87.2340425531915,61.47,12.998085106382973,186.82280841937776,365.27253453479346,0.06709497418035038,0.2490015346134121,False
SPY,gamma_gate_break,CALL,UP,MID,open,unknown,5m,32,43.75,25.0,59.375,50.52,-6.770000000000003,-1.5331339659090533,8.63218178376124,0.44368850563011186,0.7628888693927823,False
SPY,gamma_gate_break,CALL,UP,MID,open,unknown,15m,32,56.25,37.5,71.95312499999993,51.67,4.579999999999998,0.220892673063537,14.18674254548558,0.6041393739360512,0.8390436175738006,False
SPY,gamma_gate_break,CALL,UP,MID,open,unknown,30m,32,59.375,40.625,75.0,52.44,6.935000000000002,5.156714912469323,21.466741227991847,0.43213608853384633,0.7484096026057194,False
SPY,gamma_gate_break,CALL,UP,MID,open,unknown,60m,32,56.25,37.5,75.0,53.28,2.969999999999999,7.267534613023921,32.920493408696956,0.7363110329755667,0.9012696892988266,False
SPY,gamma_gate_break,CALL,UP,MID,open,unknown,240m,31,70.96774193548387,54.83870967741935,87.09677419354838,54.63,16.33774193548387,19.292159621818097,39.07812292537117,0.06767804981397618,0.25016605025639566,False
