ticker,date,open,high,low,close,volume,rsi_14,atr_14,rvol,volatility_5d,volatility_20d,consecutive_up,consecutive_down,price_vs_vwap,price_vs_ema9,price_vs_ema20,strat_candle,strat_combo,strat_setup,ftfc_score,ftfc_direction,macd,macd_signal,macd_histogram,bb_width,bb_pct,gap_pct,c1d,vix_close
IWM,2017-04-11,135.27,136.92,135.08,136.9,32569519,53.17263562101277,1.8016249629909775,0.9894171869401029,,0.1457146287182369,2,1,,0.6901789853828365,0.5838556575003084,3,nan,,,,-0.24166374837588478,-0.3410397547734471,0.09937600639756233,5.451359064889914,0.6592153423886657,,135.04,15.07
IWM,2017-04-12,136.64,136.7,134.92,135.04,25700826,45.275866629538115,1.8143660370630519,0.7873688973543882,,0.14258883988667242,2,1,,-0.5430194765776832,-0.7087152150804933,2D,32_bear_reversal,,,,-0.29780358269138674,-0.33239252035703504,0.0345889376656483,5.282879697130966,0.3376718666401281,,133.72,15.77
IWM,2017-04-13,134.88,135.37,133.66,133.72,30206992,40.66075361982533,1.8069113201299773,0.918524708261901,,0.1456583859750068,1,2,,-1.2158442353391623,-1.5217785307683056,2D,322_bear_continuation,,,,-0.4436931556429329,-0.35465264741421465,-0.08904050822871823,5.268781276002983,0.1264676977646293,,135.29,15.96
IWM,2017-04-17,134.07,135.32,133.68,135.29,18278795,47.51362459436502,1.7949890829778352,0.5688280432351815,,0.151995374654081,1,2,,-0.04482444578126676,-0.33085138128526376,1,nan,,,,-0.4276956056119161,-0.36926123905375496,-0.058434366558161144,4.61930086207434,0.44813933814814677,,135.32,14.66
IWM,2017-04-18,134.72,135.46,134.155,135.32,24553317,47.6380624511833,1.7599898627651331,0.7576491766873898,,0.15130931754313245,2,1,,-0.018128659579646253,-0.2794275463599603,2U,212_bull_reversal,,,,-0.40789472617890965,-0.3769879364787859,-0.030906789700123727,4.145852867621045,0.47877396935928457,,135.79,14.42
IWM,2017-04-19,135.69,136.9628,135.54,135.79,34627635,49.652015388847886,1.751619158281909,1.1153951947580487,,0.11454800000746977,3,0,,0.26313337585849494,0.06054895233998076,2U,22_bull_continuation,,,,-0.350239966210836,-0.37163834242519594,0.02139837621435997,3.9392973992783027,0.5738710410778606,,137.52,14.93
IWM,2017-04-20,136.34,137.67,136.15,137.52,31930711,56.31273823118321,1.7607892184046294,1.0529473780259224,,0.12221776466602613,3,0,,1.228624046899133,1.2066360311938906,2U,22_bull_continuation,,,,-0.16307182132180742,-0.32992503820451824,0.16685321688271082,4.061083599233029,0.9543122432516393,,137.21,14.15
IWM,2017-04-21,137.24,137.5475,136.71,137.21,29385980,54.910899345388046,1.694839988518585,0.9826067765322172,,0.12163828019753695,2,1,,0.798747976126483,0.8844800788879167,1,nan,,,,-0.03930108875832161,-0.27180024831527894,0.23249915955695732,4.183343638760618,0.8378876138463182,,138.92,14.63
IWM,2017-04-24,139.08,139.34,138.49,138.92,33836931,60.719686954395925,1.7259228464815428,1.1308253295050243,,0.1276538391676188,2,1,,1.6372449031020153,1.9338453810765526,2U,212_bull_continuation,,,,0.19452841497383133,-0.1785345156574569,0.37306293063128826,4.811945136839881,1.1030825201606158,,140.27,10.84
IWM,2017-04-25,140.24,140.88,140.09,140.27,32751675,64.59736584964975,1.7426426431614332,1.0997847137971268,,0.13083098277916141,2,1,,2.088983242647841,2.6385554289398856,2U,22_bull_continuation,,,,0.4832036282685692,-0.04618688687225167,0.5293905151408209,5.92355940292282,1.1711336427281172,,140.99,10.76
